thread_id,customer_text,brand_text,llm_predicted_intent,gold_intent,gold_escalate,labeler_notes
2945617,"@AmazonHelp I've shared my details twice, spoke to your customer care team twice, finally managed to speak to your delivery agent, after trying all evening, once.

I'm frankly fried now.","@813367 It's never our intention to keep you waiting. If you have shared your details, we shall get in touch with you at the earliest to make things right. ^CB",support_process_complaint,support_process_complaint,Y,
725554,@115850 i wanna ask a q? If u guys not able to deliver items right way den why blame to customer like address not correct/refused by same?,@293795 That's unusual. Kindly report this here: https://t.co/vlvfJr4nN9 and we'll check. ^HK,delivery_issue,delivery_issue,N,
1398060,@AmazonHelp Wollte ich eigentlich hiermit tun^^,"@445119 Wenn du sie uns per Anhang schickst, haben wir weitere Infos mit denen die Kollegen arbeiten können. (E-Mail Header etc.) ^MI",other_uncategorized,other_uncategorized,Y,
461263,"Eu te amo, @117086! https://t.co/wlu7K4R6l2","@224598 O amor é mútuo, AQ! 🙈 Você adora ler mesmo, não é? Qual livro você vai ler primeiro? 🤔 ^CR",other_uncategorized,other_uncategorized,Y,
361713,"@AmazonHelp I want to buy the product, you mean today I cannot?",@181613 Kindly reach out to our support team regarding the quantity limit here: https://t.co/jTRDpqC6sp. They'll look into this.^VN,product_info_availability,product_info_availability,N,
2485570,@115830 really getting frustrated trying to deal with customer services,"@710003 Oh no! I'm sorry for the poor experience! Without revealing account or personal information, can you tell us more about what's going on? Please let us know! We're here to help. ^TG",support_process_complaint,support_process_complaint,Y,
278709,"@115850 I had ordered this for last Diwali. It's been a year and you're still ""Preparing for dispatch"" !! 😂😂😂 https://t.co/YBC1fJrlVO","@182466 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",delivery_issue,delivery_issue,Y,
2110456,I'm watching Mr. Robot #telfie @116618 #PrimeVideo #MrRobot S3 E2 #Hype https://t.co/oCIH90eoTI,@622569 👌,other_uncategorized,other_uncategorized,Y,
1661852,@AmazonHelp Then pls check with your backend team rather then asking me.,@506833 We'd like to look into it. Please fill this form: https://t.co/beaaDm0muc and we'll get in touch with you at the earliest. ^MO,support_process_complaint,support_process_complaint,Y,
2269285,Okay so I ordered a 21' winter cover and received a 28'...was too damned late (freezing temperatures) to just send it back. Hoped it would just be oversized...not to the ground. 🙄  @AmazonHelp https://t.co/05CIUYzqNj,@660348 Sorry to see this Tremayne- Have you checked out what options are available in our Return Support Center here: https://t.co/oet0W0Mo03 Let us know if we can be of any help with this. ^NV,delivery_issue,delivery_issue,N,
1247750,"@AmazonHelp UPS —the company is called Looseplus, I believe.","@412748 We can take a closer look into available options. When you have time, we can be reached via phone: https://t.co/hApLpMlfHN ^EP",delivery_issue,delivery_issue,N,
1260158,@AmazonHelp Its a fault in your app.,@415249 Have you checked for app and device updates? ^JJ,account_technical,account_technical,N,
275164,"@AmazonHelp Pretending to be amazon. Sending me an invoice for my prime subscription (I don't have prime, have checked my account, definitely don't!)",@181738 You can report the email here: https://t.co/NQJ8QwRBRY ^CD,payment_billing,payment_billing,N,
1647473,@AmazonHelp Can you advise which would be the most appropriate non-order question to use from the dropdown menu?,"@503340 Sure! To contact us, select the option for Prime or something else and then select more/other non-order questions. ^QJ",product_info_availability,product_info_availability,N,
372845,@115821 Why can't I talk to Alexa in the Alexa app?,@180859 We're always looking for ways to improve. You can submit feedback directly to our Alexa team: https://t.co/IaMpdMyJUM ^KB,account_technical,account_technical,N,
1284506,@115830 account on hold thru on fault of my own for 3 weeks. No help from @AmazonHelp. Call back within 24 hours yeah right,@420470 I'm sorry you haven't heard back. The Account Specialists are an email support team. Have you received any emails? ^AJ,account_technical,account_technical,N,
1932440,@116439 I’ve reset to factory and still buffers. 4 ft from modem/router and still buffers. Other devices don’t.,@284884 I'm sorry to hear the device is buffering! Have you tried to restart the router and modem as well? ^DD,account_technical,account_technical,N,
450789,@AmazonHelp my usual card has been declined for no reason. Tried 2 of my others and they're being declined and I don't know why. It's definitely not a financial issue so I don't know what else it could be.,"@221880 I'm sorry for the trouble with your card. As a first step, please take a look over the tips here and verify your billing address matches what your bank has on file: https://t.co/u0ohF3v0Ve. We recommend contacting your bank if the cards continue to decline. ^MB",payment_billing,payment_billing,N,
2205220,@115821 Why can't I control my fire TV from my kindle any more?,@644787 We'd love to help! Are you trying to use the screen mirroring feature or are you using the Fire TV Remote App? ^ZW,account_technical,account_technical,N,
135112,"@AmazonHelp Sir I Had searched, pls share here. I will update and will be having no issues onto sharing live as 28 days with no support and just everyone taking time . I guess even a year is short for you guys.",@146436 Could you please confirm if you've replied to the email correspondence sent from our end? ^RB,support_process_complaint,support_process_complaint,Y,
1121627,@115850 #fake sale cancelled my order without any reason because i order it at 80% discount. if u are going to cancel then what is the need of sales,"@381550 We're sorry for this but when an order is canceled, it is followed by an email with the reason for cancellation. Kindly check. ^RS",refund_return,refund_return,N,
2460804,"無事、エイト限定盤が届いた!!!
amazonさん、ありがとう♪ https://t.co/3Jqw5uqU8n",@704612 こちらこそ、ご購入ありがとうございました♪ 😆 TN,other_uncategorized,other_uncategorized,Y,
1768958,Oh @115830 it gets worse... why is £449.99 pending on my AmEx three times?! #xboxonex,"@531836 I'm sorry, we can't view charges via Twitter. Please contact us by phone here: https://t.co/JzP7hlA23B so we can take a look. ^KL",payment_billing,payment_billing,N,
2805950,@130293 cada cuanto tiempo se suben novedades a la plataforma?,@782590 Hola lovefox. Se publican todos los días. ^JJ,product_info_availability,product_info_availability,N,
1461509,@AmazonHelp Well just had an email to say delay in delivery! Paid an extra £2.99 to recieve it today!! Going to refund me that then?,@326241 We'd like to; please contact our support team so we can review available options with you: https://t.co/JzP7hlA23B ^WM,refund_return,refund_return,Y,
1632176,@AmazonHelp Mal chegaram já estão na bagunça... cobrar por algo que não entregou não seria roubo?,"@499460 Leadro, o que foi indicado para você pelos nossos colegas do SAC? ^LG",refund_return,refund_return,N,
1283821,I confess: I am an online shopper. Satisfied how fast @117795 delivers my purchases. New toy I bought. #stabilizer #upthegame https://t.co/HXLNfkXa58,"@420315 Hey Nadia, I am glad to hear that we exceed your expectations! Make sure to show off those pictures! ^LS",other_uncategorized,other_uncategorized,Y,
932723,"@118919 Very pathetic service of #AmazonIndia in Silchar,Assam.Parcel is in local delivery place for 6days, not delivered.",@341244 Sorry to know you haven't received your order. Kindly report this to our support team here: https://t.co/cZ9PSVL8EL ^ OS,delivery_issue,delivery_issue,Y,
724619,"Beware of this seller on Amazon ""Beauty_Basket storefront"", sells counterfeit products. @115850 https://t.co/63uDJ90UcQ","@293554 I apologize for trouble you had to go through, please reach out to us here: https://t.co/rS49hgaADF for further assistance. ^VR",security_scam_report,security_scam_report,Y,
994182,@AmazonHelp 20 minutes ago by email and currently on chat. However chat is unable to help.,@178186 What are they advising? ^PK,support_process_complaint,support_process_complaint,Y,
1135201,@AmazonHelp My student prime has been activated yet I've still been charged for normal prime hence why I have contacted you,"@387435 I'm so sorry for this experience, Niha. We'd like to look into this further. Please contact us here: https://t.co/JzP7hlA23B ^HS",payment_billing,payment_billing,N,
478554,@AmazonHelp Disgusting just disgusting service 😤😤😤😤😤😤😤😤😖😖😖😖😖😖😖😖,"@228684 We would like to help you. However, we wouldn't be able to access your account on Twitter. Please drop your details in the link shared earlier and we'll get in touch with you soon. ^BV",other_uncategorized,other_uncategorized,Y,
458894,"@AmazonHelp I paid extra for one day shipping, can i expect that money back, as two Day was free and It will take 3-4",@223981 I'm so sorry for the delivery experience! We'd like to help if we can. Please reach out to us here so we can look into this further: https://t.co/hApLpMlfHN ^MO,refund_return,refund_return,N,
2881847,"@AmazonHelp Hey there, I've been having problems with one of the parcels I sent to a locket to get returned... it's still not saying whether it's arrived in a UK depot as of yet... I posted it to a locker with its tags a few weeks back...",@799623 Have there been any updates on the return for the item?^PJ,delivery_issue,delivery_issue,N,
1279696,@AmazonHelp One to two hours... What does Amazon Help help with?,"@419446 might take some time, but please let us know once it happens and let us know how it goes! 2/2 ^RL",other_uncategorized,other_uncategorized,Y,
2260835,"@AmazonHelp Honestly, I'm already losing trust to you @115821 &amp; @AmazonHelp. My package for the third time has not been delivered (From the last Friday) thanks to @2150. Fatal fails because of its current poor service. BAD! BAD! 🤢🤢🤢",@658283 I'm sorry for the wait! I can understand how frustrating this is. Have you been able to reach us to review your available options? ^DW,delivery_issue,delivery_issue,N,
248606,"@AmazonHelp 
&amp; Fake update
The courier was unable to contact the recipient to arrange delivery. Please contact Amazon.
Mumbai, IN","@174955 I understand your order was returned without any imitation. However, we'll not be able to reinstate the order. ^SG",delivery_issue,delivery_issue,N,
