thread_id,customer_tweet_id,customer_text,customer_created_at,brand_tweet_id,brand_text,brand_created_at,llm_intent
551938,551938,"@AmazonHelp hi! my order was supposed to arrive on the 29th, but the tracking number says it can't be delivered because there's a problem with my address. i spoke with someone from amazon 2 days ago who told me it was fixed but the error still displays and my order still hasn't arrived.",Sat Dec 02 19:24:04 +0000 2017,551937,@248651 Oh no! Has the tracking status been updated since the scan that said it can't be delivered: https://t.co/Y5jpI9gRhE? ^JO,Sat Dec 02 19:29:00 +0000 2017,delivery_issue
1544509,1544509,@115850 @115821 https://t.co/hNDDbomp4r,Sat Nov 04 05:05:34 +0000 2017,1544508,"@478409 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",Sat Nov 04 05:29:35 +0000 2017,other_uncategorized
1270999,1270999,@115850 can I pay for my COD order using Amazon pay?,Thu Oct 26 14:11:56 +0000 2017,1270997,@417583 I'm afraid you'll not be able to pay using pay balance at the time of delivery. For detail refer here: https://t.co/oNCBzNnYig ^SG,Thu Oct 26 14:34:04 +0000 2017,payment_billing
173489,173489,@AmazonHelp Amazon Logistics,Fri Nov 24 23:11:12 +0000 2017,173491,"@156616 J'en suis navrée, je vous prie dans ce cas-là de le signaler à notre SAV via : https://t.co/hgIrz98cdI et si possible de nous indiquer le numéro de suivi concerné afin qu'on puisse remonter cet incident également.
^KE",Fri Nov 24 23:17:29 +0000 2017,other_uncategorized
1155079,1155079,"@AmazonHelp J'ai fait, mais sur l'un des articles absents du colis, on me demande de le renvoyer :/ Comment faire pour changer ce statut ?",Tue Oct 24 18:07:50 +0000 2017,1155081,@391728 C'est au SAV de réctifier les paramètres de ce retour. Merci de ré-utiliser le lien ci-haut. Désolé pour cette confusion ^KD,Tue Oct 24 18:14:00 +0000 2017,delivery_issue
2226762,2226762,"Typical ! @115830 take money for next day delivery but every time they fail &amp; when you complain they say ‘try the carrier, not out fault’! I did not buy from carrier you numpties I bought from you #AmazonExtortion #AmazonRipOff",Fri Nov 10 08:56:44 +0000 2017,2226760,@649984 I'm sorry to hear that were you given a reason for the delay? ^AS,Fri Nov 10 09:01:24 +0000 2017,delivery_issue
652169,652169,@UPSHelp My package from @2629 is lost&amp; my @115821 was supposed 2 b here at the end of the day 2 day....now the ETA has changed....AGAIN!!!!,Wed Nov 22 21:31:30 +0000 2017,652168,@274705 Oh no! Please let us know if it doesn't arrive by the new delivery date. ^MT,Wed Nov 22 21:34:29 +0000 2017,delivery_issue
633558,633558,". @115821's Kindle Fire OS is unusable. The new Fire Kids Editions I bought were literally impossible to set up without accepting a trial of Kindle Free Time Unlimited.

I can't figure how to limit the apps my 6yo can see and download to only things I have approved.",Wed Nov 22 16:48:47 +0000 2017,633557,"@270176 Hi there, Dave! We'd love to help out in any way we can. Please reach out to us via phone or live chat here: https://t.co/hApLpMlfHN, so we can look further into this with you in real-time. ^WJ",Wed Nov 22 16:57:00 +0000 2017,other_uncategorized
190359,190359,@AmazonHelp Sir what happened ... Still now no action @115850,Wed Oct 04 18:24:26 +0000 2017,190358,@160662 We'll reach out to you soon. (2/2) ^AS,Wed Oct 04 18:51:00 +0000 2017,support_process_complaint
481515,481515,"@AmazonHelp Have done that already, but no response. Just started with #AmazonPrime and it doesn't look good.",Fri Dec 01 15:02:19 +0000 2017,481517,"@229455 Just to check, could you confirm whether you have an account with https://t.co/nUUp5MLhYl or Amazon.in? ^MD",Fri Dec 01 15:31:32 +0000 2017,support_process_complaint
