thread_id,customer_tweet_id,customer_text,customer_created_at,brand_tweet_id,brand_text,brand_created_at
706424,706424,@AmazonHelp ... mi banco y ayudarme a confirmar el cobro de mi otro pedido 😍😍😍😍😍,Thu Oct 26 10:51:19 +0000 2017,706425,"@288889 Nos alegra saber que conseguimos ayudarte a resolver tu caso Debby, 😍 ¿Cuándo estrenarás tu juego de MarioKart? ^AZ",Thu Oct 26 11:06:30 +0000 2017
888260,888260,"@115830 your delivery drivers are a joke! Lazy and rude! Saw him coming, he delivered a parcel to my neighbour and dropped mine off there too despite me standing with the door open..",Sat Nov 25 16:14:17 +0000 2017,888259,"@330908 I'm very sorry for this, Paul. If you'd like to leave carrier feedback, please visit us here: https://t.co/JzP7hlA23B ^RB",Sat Nov 25 16:17:01 +0000 2017
1892054,1892054,@AmazonHelp Ah! What’s what I wanted. How did you do that? 😂. Everything I want isn’t on prime 😭. And do they stay forever once bought?,Wed Nov 15 01:10:05 +0000 2017,1892056,@129868 If bought they stay on your account to view whenever you wish! We hope you enjoy watching! 😊 ^EB,Wed Nov 15 01:17:00 +0000 2017
1727996,1727996,"Dear @115850 my mother's bday is on 14th Nov, missed the great Indian sale. Want one mobile phone to gift her. Pls be the saviour.",Tue Nov 07 10:35:46 +0000 2017,1727995,@522529 Please stay tuned to our website for any upcoming deals on mobiles. ^AP,Tue Nov 07 10:46:00 +0000 2017
825095,825095,@116618 Thanks for nothing... https://t.co/0AHRwejwhe,Fri Oct 13 00:01:27 +0000 2017,825093,"@316508 I'm sorry for the trouble. Which website are you trying to watch this on? (https://t.co/Oc4q8KxtdZ, https://t.co/nUUp5MLhYl) ^GM",Fri Oct 13 00:35:30 +0000 2017
2640880,2640880,Só quero ver se a black friday da @117086 vai compensar mesmo.,Fri Nov 17 22:04:05 +0000 2017,2640879,@280149 Olá Grace! Fique de olho no nosso site e nas nossas redes sociais para qualquer novidade do Black Friday! Abraços!  ^JJ,Fri Nov 17 22:12:31 +0000 2017
2970625,2970625,Amazon took forever to ship my order 🤦🏾‍♂️,Thu Nov 30 00:35:41 +0000 2017,2970624,"@819384 I'm sorry for the wait! We strive to provide the best customer service that we can and your feedback is important to us. We'd like your feedback here when you have a moment: https://t.co/VZEpLl1KPv Thanks! 
^MO",Thu Nov 30 00:43:31 +0000 2017
1665337,1665337,Amazonプライムのミュージックに”推し曲”が追加されてありえん笑顔になってる https://t.co/mgR846IKED,Mon Nov 06 10:33:20 +0000 2017,1665336,@507425 こんにちは、アマゾン公式です。お気に入りの曲が見つかってよかったです。ご利用いただきありがとうございます。😊ET,Mon Nov 06 10:45:25 +0000 2017
227473,227473,"Queridos @116928, nadie os pidió incluirme en el Prime la opción de vídeo a la carta. 
Doy por hecho q la subida será sobre ese añadido.",Thu Oct 05 07:35:02 +0000 2017,227472,"@170252 Sin compartir información sensible ni personal de tu cuenta, ¿has visto algún cambio o incremento el cuál no reconoces ? ^VM",Thu Oct 05 07:45:30 +0000 2017
1182602,1182602,"Their Courier boys keep the parcel with thm and shws its deliverd to d customer, and if u escalate d issue then they threaten to rape ur sis https://t.co/QneFyqM5qP",Sun Oct 15 19:16:04 +0000 2017,1182601,@332948 Request you to write back to the email you've received from our team and we will look into this. ^SQ,Sun Oct 15 19:30:06 +0000 2017
